Par,RowId,ROutput
0,70,55    0          6.5         2.8          4.6         1.5 Iris-versicolor
0,71,56    0          5.7         2.8          4.5         1.3 Iris-versicolor
0,72,57    0          6.3         3.3          4.7         1.6 Iris-versicolor
0,73,58    0          4.9         2.4          3.3         1.0 Iris-versicolor
0,74,59    0          6.6         2.9          4.6         1.3 Iris-versicolor
0,75,60    0          5.2         2.7          3.9         1.4 Iris-versicolor
0,76,61    0          5.0         2.0          3.5         1.0 Iris-versicolor
0,77,62    0          5.9         3.0          4.2         1.5 Iris-versicolor
0,78,63    0          6.0         2.2          4.0         1.0 Iris-versicolor
0,79,64    0          6.1         2.9          4.7         1.4 Iris-versicolor
0,80,65    0          5.6         2.9          3.6         1.3 Iris-versicolor
0,81,66    0          6.7         3.1          4.4         1.4 Iris-versicolor
0,82,67    0          5.6         3.0          4.5         1.5 Iris-versicolor
0,83,68    0          5.8         2.7          4.1         1.0 Iris-versicolor
0,84,69    0          6.2         2.2          4.5         1.5 Iris-versicolor
0,85,70    0          5.6         2.5          3.9         1.1 Iris-versicolor
0,86,71    0          5.9         3.2          4.8         1.8 Iris-versicolor
0,87,72    0          6.1         2.8          4.0         1.3 Iris-versicolor
0,88,73    0          6.3         2.5          4.9         1.5 Iris-versicolor
0,89,74    0          6.1         2.8          4.7         1.2 Iris-versicolor
0,90,75    0          6.4         2.9          4.3         1.3 Iris-versicolor
0,91,76    0          6.6         3.0          4.4         1.4 Iris-versicolor
0,92,77    0          6.8         2.8          4.8         1.4 Iris-versicolor
0,93,78    0          6.7         3.0          5.0         1.7 Iris-versicolor
0,94,79    0          6.0         2.9          4.5         1.5 Iris-versicolor
0,95,80    0          5.7         2.6          3.5         1.0 Iris-versicolor
0,96,81    0          5.5         2.4          3.8         1.1 Iris-versicolor
0,97,82    0          5.5         2.4          3.7         1.0 Iris-versicolor
0,98,83    0          5.8         2.7          3.9         1.2 Iris-versicolor
0,99,84    0          6.0         2.7          5.1         1.6 Iris-versicolor
0,100,85    0          5.4         3.0          4.5         1.5 Iris-versicolor
0,101,86    0          6.0         3.4          4.5         1.6 Iris-versicolor
0,102,87    0          6.7         3.1          4.7         1.5 Iris-versicolor
0,103,88    0          6.3         2.3          4.4         1.3 Iris-versicolor
0,104,89    0          5.6         3.0          4.1         1.3 Iris-versicolor
0,105,90    0          5.5         2.5          4.0         1.3 Iris-versicolor
0,106,91    0          5.5         2.6          4.4         1.2 Iris-versicolor
0,107,92    0          6.1         3.0          4.6         1.4 Iris-versicolor
0,108,93    0          5.8         2.6          4.0         1.2 Iris-versicolor
0,109,94    0          5.0         2.3          3.3         1.0 Iris-versicolor
0,110,95    0          5.6         2.7          4.2         1.3 Iris-versicolor
0,111,96    0          5.7         3.0          4.2         1.2 Iris-versicolor
0,112,97    0          5.7         2.9          4.2         1.3 Iris-versicolor
0,113,98    0          6.2         2.9          4.3         1.3 Iris-versicolor
0,114,99    0          5.1         2.5          3.0         1.1 Iris-versicolor
0,115,100   0          5.7         2.8          4.1         1.3 Iris-versicolor
0,116,101   0          6.3         3.3          6.0         2.5  Iris-virginica
0,117,102   0          5.8         2.7          5.1         1.9  Iris-virginica
0,118,103   0          7.1         3.0          5.9         2.1  Iris-virginica
0,119,104   0          6.3         2.9          5.6         1.8  Iris-virginica
0,120,105   0          6.5         3.0          5.8         2.2  Iris-virginica
0,121,106   0          7.6         3.0          6.6         2.1  Iris-virginica
0,122,107   0          4.9         2.5          4.5         1.7  Iris-virginica
0,123,108   0          7.3         2.9          6.3         1.8  Iris-virginica
0,124,109   0          6.7         2.5          5.8         1.8  Iris-virginica
0,125,110   0          7.2         3.6          6.1         2.5  Iris-virginica
0,126,111   0          6.5         3.2          5.1         2.0  Iris-virginica
0,127,112   0          6.4         2.7          5.3         1.9  Iris-virginica
0,128,113   0          6.8         3.0          5.5         2.1  Iris-virginica
0,129,114   0          5.7         2.5          5.0         2.0  Iris-virginica
0,130,115   0          5.8         2.8          5.1         2.4  Iris-virginica
0,131,116   0          6.4         3.2          5.3         2.3  Iris-virginica
0,132,117   0          6.5         3.0          5.5         1.8  Iris-virginica
0,133,118   0          7.7         3.8          6.7         2.2  Iris-virginica
0,134,119   0          7.7         2.6          6.9         2.3  Iris-virginica
0,135,120   0          6.0         2.2          5.0         1.5  Iris-virginica
0,136,121   0          6.9         3.2          5.7         2.3  Iris-virginica
0,137,122   0          5.6         2.8          4.9         2.0  Iris-virginica
0,138,123   0          7.7         2.8          6.7         2.0  Iris-virginica
0,139,124   0          6.3         2.7          4.9         1.8  Iris-virginica
0,140,125   0          6.7         3.3          5.7         2.1  Iris-virginica
0,141,126   0          7.2         3.2          6.0         1.8  Iris-virginica
0,142,127   0          6.2         2.8          4.8         1.8  Iris-virginica
0,143,128   0          6.1         3.0          4.9         1.8  Iris-virginica
0,144,129   0          6.4         2.8          5.6         2.1  Iris-virginica
0,145,130   0          7.2         3.0          5.8         1.6  Iris-virginica
0,146,131   0          7.4         2.8          6.1         1.9  Iris-virginica
0,147,132   0          7.9         3.8          6.4         2.0  Iris-virginica
0,148,133   0          6.4         2.8          5.6         2.2  Iris-virginica
0,149,134   0          6.3         2.8          5.1         1.5  Iris-virginica
0,150,135   0          6.1         2.6          5.6         1.4  Iris-virginica
0,151,136   0          7.7         3.0          6.1         2.3  Iris-virginica
0,152,137   0          6.3         3.4          5.6         2.4  Iris-virginica
0,153,138   0          6.4         3.1          5.5         1.8  Iris-virginica
0,154,139   0          6.0         3.0          4.8         1.8  Iris-virginica
0,155,140   0          6.9         3.1          5.4         2.1  Iris-virginica
0,156,141   0          6.7         3.1          5.6         2.4  Iris-virginica
0,157,142   0          6.9         3.1          5.1         2.3  Iris-virginica
0,158,143   0          5.8         2.7          5.1         1.9  Iris-virginica
0,159,144   0          6.8         3.2          5.9         2.3  Iris-virginica
0,160,145   0          6.7         3.3          5.7         2.5  Iris-virginica
0,161,146   0          6.7         3.0          5.2         2.3  Iris-virginica
0,162,147   0          6.3         2.5          5.0         1.9  Iris-virginica
0,163,148   0          6.5         3.0          5.2         2.0  Iris-virginica
0,164,149   0          6.2         3.4          5.4         2.3  Iris-virginica
0,165,150   0          5.9         3.0          5.1         1.8  Iris-virginica
0,166,Printing the last line 
